"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"blkcg_punt_bio","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","138","-20",,"False","11/26/2019 08:00:51",,"138",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","blkcg_punt_bio","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"blueman-applet","1028","16","464662528","53063680","0","0","/usr/bin/python3.7","System.Diagnostics.Process (startdde)",,"0.92",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1294","0",,"False","11/26/2019 08:05:09",,"1294",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","blueman-applet","15","1028",,"System.Diagnostics.ProcessThreadCollection","16","464662528","464662528","False",,,,"53063680","53063680",,"System.Diagnostics.ProcessModule (python3.7)","0","","True","00:00:00.1700000","00:00:00.9200000","00:00:00.7500000",,
"blueman-tray","1028","12","343470080","54509568","0","0","/usr/bin/python3.7","System.Diagnostics.Process (systemd)",,"0.44",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1420","0",,"False","11/26/2019 08:05:26",,"1420",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","blueman-tray","15","1028",,"System.Diagnostics.ProcessThreadCollection","12","343470080","343470080","False",,,,"54509568","54509568",,"System.Diagnostics.ProcessModule (python3.7)","0","","True","00:00:00.0400000","00:00:00.4400000","00:00:00.4000000",,
"bluetoothd","717",,"12718080","5730304","0","0",,"System.Diagnostics.Process (systemd)",,"1.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","717","0",,"False","11/26/2019 08:01:20",,"717",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","bluetoothd","15","717",,"System.Diagnostics.ProcessThreadCollection",,"12718080","12718080","False",,,,"5730304","5730304",,,"0","","True","00:00:00.4500000","00:00:01.0500000","00:00:00.6000000",,
"cfg80211","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","528","-20",,"False","11/26/2019 08:01:13",,"528",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","cfg80211","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"charger_manager","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","181","-20",,"False","11/26/2019 08:00:51",,"181",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","charger_manager","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"code","3023","105","1103908864","145956864","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (systemd)",,"12.21",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3023","0",,"False","11/26/2019 12:37:21",,"3023",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","105","1103908864","1103908864","False",,,,"145956864","145956864",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:04.8500000","00:00:12.2100000","00:00:07.3600000",,
"code","3023","14","393076736","44486656","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"0.18",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3025","0",,"False","11/26/2019 12:37:21",,"3025",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","14","393076736","393076736","False",,,,"44486656","44486656",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:00.1600000","00:00:00.1800000","00:00:00.0200000",,
"code","3023","31","454647808","84688896","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"17.09",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3059","0",,"False","11/26/2019 12:37:23",,"3059",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","31","454647808","454647808","False",,,,"84688896","84688896",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:05.8500000","00:00:17.0900000","00:00:11.2400000",,
"code","3023","73","1132855296","255016960","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"69.94",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3070","0",,"False","11/26/2019 12:37:24",,"3070",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","73","1132855296","1132855296","False",,,,"255016960","255016960",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:08.1800000","00:01:09.9400000","00:01:01.7600000",,
"code","3023","50","763781120","114118656","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"1.71",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3122","0",,"False","11/26/2019 12:37:33",,"3122",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","50","763781120","763781120","False",,,,"114118656","114118656",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:00.3300000","00:00:01.7100000","00:00:01.3800000",,
"code","3023","78","790405120","168837120","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"9.24",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3150","0",,"False","11/26/2019 12:37:36",,"3150",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","78","790405120","790405120","False",,,,"168837120","168837120",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:01.6000000","00:00:09.2400000","00:00:07.6400000",,
"code","3023","62","616255488","72933376","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"0.58",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3164","0",,"False","11/26/2019 12:37:36",,"3164",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","62","616255488","616255488","False",,,,"72933376","72933376",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:00.0900000","00:00:00.5800000","00:00:00.4900000",,
"code","3023","60","610807808","70090752","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"0.32",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3191","0",,"False","11/26/2019 12:37:40",,"3191",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","60","610807808","610807808","False",,,,"70090752","70090752",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:00.0300000","00:00:00.3200000","00:00:00.2900000",,
"code","3023","41","669954048","108261376","0","0","/var/lib/snapd/snap/code/20/usr/share/code/code","System.Diagnostics.Process (code)",,"0.6",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3211","0",,"False","11/26/2019 12:37:40",,"3211",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","code","15","3023",,"System.Diagnostics.ProcessThreadCollection","41","669954048","669954048","False",,,,"108261376","108261376",,"System.Diagnostics.ProcessModule (code)","0","","True","00:00:00.0400000","00:00:00.6000000","00:00:00.5600000",,
"cpuhp/0","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","16","0",,"False","11/26/2019 08:00:51",,"16",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cpuhp/0","1","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"cpuhp/1","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","17","0",,"False","11/26/2019 08:00:51",,"17",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cpuhp/1","2","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"cpuhp/2","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","24","0",,"False","11/26/2019 08:00:51",,"24",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cpuhp/2","4","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"cpuhp/3","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","31","0",,"False","11/26/2019 08:00:51",,"31",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cpuhp/3","8","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"crond","712",,"11227136","2707456","0","0",,"System.Diagnostics.Process (systemd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","712","0",,"False","11/26/2019 08:01:20",,"712",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","crond","15","712",,"System.Diagnostics.ProcessThreadCollection",,"11227136","11227136","False",,,,"2707456","2707456",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"cryptd","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","440","-20",,"False","11/26/2019 08:01:13",,"440",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","cryptd","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"cupsd","733",,"37851136","9076736","0","0",,"System.Diagnostics.Process (systemd)",,"0.04",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","733","0",,"False","11/26/2019 08:01:24",,"733",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","cupsd","15","733",,"System.Diagnostics.ProcessThreadCollection",,"37851136","37851136","False",,,,"9076736","9076736",,,"0","","True","00:00:00.0100000","00:00:00.0400000","00:00:00.0300000",,
"dbus-daemon","715",,"13279232","5869568","0","0",,"System.Diagnostics.Process (systemd)",,"5.8",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","715","0",,"False","11/26/2019 08:01:20",,"715",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dbus-daemon","15","715",,"System.Diagnostics.ProcessThreadCollection",,"13279232","13279232","False",,,,"5869568","5869568",,,"0","","True","00:00:00.9200000","00:00:05.8000000","00:00:04.8800000",,
"dbus-daemon","1036","68","12234752","5709824","0","0","/usr/bin/dbus-daemon","System.Diagnostics.Process (systemd)",,"2.04",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1036","0",,"False","11/26/2019 08:04:45",,"1036",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dbus-daemon","15","1036",,"System.Diagnostics.ProcessThreadCollection","68","12234752","12234752","False",,,,"5709824","5709824",,"System.Diagnostics.ProcessModule (dbus-daemon)","0","","True","00:00:00.5800000","00:00:02.0400000","00:00:01.4600000",,
"dbus-daemon","1137","22","10825728","3973120","0","0","/usr/bin/dbus-daemon","System.Diagnostics.Process (at-spi-bus-laun)",,"0.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1143","0",,"False","11/26/2019 08:04:53",,"1143",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dbus-daemon","15","1137",,"System.Diagnostics.ProcessThreadCollection","22","10825728","10825728","False",,,,"3973120","3973120",,"System.Diagnostics.ProcessModule (dbus-daemon)","0","","True","00:00:00.0300000","00:00:00.0500000","00:00:00.0200000",,
"dconf-service","1036","7","161198080","5767168","0","0","/usr/lib/dconf-service","System.Diagnostics.Process (systemd)",,"0.09",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1152","0",,"False","11/26/2019 08:04:53",,"1152",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dconf-service","15","1036",,"System.Diagnostics.ProcessThreadCollection","7","161198080","161198080","False",,,,"5767168","5767168",,"System.Diagnostics.ProcessModule (dconf-service)","0","","True","00:00:00.0200000","00:00:00.0900000","00:00:00.0700000",,
"dde-desktop","1028","24","965218304","73797632","0","0","/usr/bin/dde-desktop","System.Diagnostics.Process (startdde)",,"1.2",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1181","0",,"False","11/26/2019 08:04:54",,"1181",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dde-desktop","15","1028",,"System.Diagnostics.ProcessThreadCollection","24","965218304","965218304","False",,,,"73797632","73797632",,"System.Diagnostics.ProcessModule (dde-desktop)","0","","True","00:00:00.3700000","00:00:01.2000000","00:00:00.8300000",,
"dde-dock","1028","24","933085184","82882560","0","0","/usr/bin/dde-dock","System.Diagnostics.Process (startdde)",,"7.02",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1156","0",,"False","11/26/2019 08:04:53",,"1156",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dde-dock","15","1028",,"System.Diagnostics.ProcessThreadCollection","24","933085184","933085184","False",,,,"82882560","82882560",,"System.Diagnostics.ProcessModule (dde-dock)","0","","True","00:00:01.7200000","00:00:07.0200000","00:00:05.3000000",,
"dde-launcher","1036","24","776790016","220160000","0","0","/usr/bin/dde-launcher","System.Diagnostics.Process (systemd)",,"3.95",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1406","0",,"False","11/26/2019 08:05:23",,"1406",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dde-launcher","15","1036",,"System.Diagnostics.ProcessThreadCollection","24","776790016","776790016","False",,,,"220160000","220160000",,"System.Diagnostics.ProcessModule (dde-launcher)","0","","True","00:00:00.6200000","00:00:03.9500000","00:00:03.3300000",,
"dde-lock","1036","21","811671552","103862272","0","0","/usr/bin/dde-lock","System.Diagnostics.Process (systemd)",,"38.59",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2109","0",,"False","11/26/2019 08:23:35",,"2109",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dde-lock","15","1036",,"System.Diagnostics.ProcessThreadCollection","21","811671552","811671552","False",,,,"103862272","103862272",,"System.Diagnostics.ProcessModule (dde-lock)","0","","True","00:00:08.5000000","00:00:38.5900000","00:00:30.0900000",,
"dde-osd","1036","24","620240896","63520768","0","0","/usr/lib/deepin-daemon/dde-osd","System.Diagnostics.Process (systemd)",,"0.97",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2803","0",,"False","11/26/2019 12:35:44",,"2803",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dde-osd","15","1036",,"System.Diagnostics.ProcessThreadCollection","24","620240896","620240896","False",,,,"63520768","63520768",,"System.Diagnostics.ProcessModule (dde-osd)","0","","True","00:00:00.2600000","00:00:00.9700000","00:00:00.7100000",,
"dde-polkit-agen","1028","18","517951488","42885120","0","0","/usr/lib/polkit-1-dde/dde-polkit-agent","System.Diagnostics.Process (startdde)",,"0.32",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1336","0",,"False","11/26/2019 08:05:13",,"1336",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","dde-polkit-agen","15","1028",,"System.Diagnostics.ProcessThreadCollection","18","517951488","517951488","False",,,,"42885120","42885120",,"System.Diagnostics.ProcessModule (dde-polkit-agent)","0","","True","00:00:00.1400000","00:00:00.3200000","00:00:00.1800000",,
